['СНТ Акватория'];Не найдено
['  ПДК Балтийская Ривьера ДНП Старое Приветнинское '];Не найдено
['  СНТ Улис '];Не найдено
['  СНТ Онега'];Не найдено
['  СНТ Ручей'];Не найдено
['  СНТ Руские мельницы'];Не найдено
['  СНТ Омега ДНП Золотые Пески'];Не найдено
['  магазин Стройудача'];Не найдено
['  СНТ Озерное'];Не найдено
Санкт-Петербург, муниципальный округ Южно-Приморский, набережная Матисова канала, дом 1, строение 1;219165
['  Т/Б Разлив КП Крутой берег'];Не найдено
['  НП Новое Комарово'];Не найдено
['  СНТ Зеленая Поляна СНТ Полянки'];Не найдено
['  СНТ Финский Бриз'];Не найдено
['  СНТ Морские терассы'];Не найдено
['  СНТ Стрела'];Не найдено
['Сад-Во *Ветеран*'];Не найдено
['Почтовая Ул. уч. 2а (северо-восточнее д.39 по Детской ул.)   д.14'];Не найдено
['  Сад-Во *Ветеран*'];Не найдено
['Почтовая Ул. уч. 2а (северо-восточнее д.39 по Детской ул.)   д.73'];Не найдено
"['Садоводческое товарищество ""Ветеран""']";Не найдено
Санкт-Петербург, город Зеленогорск, улица Строителей, дом 11;5398
Санкт-Петербург, город Зеленогорск, улица Строителей, дом 2б, литера А;24830
Санкт-Петербург, город Зеленогорск, улица Строителей, дом 1а, литера А;141039
Санкт-Петербург, город Сестрорецк, улица Строителей, дом 8, литера А;52505
[nan];Не найдено
['Мысленская'];Не найдено
['  Заречная'];Не найдено
г.Санкт-Петербург, улица Композиторов, дом 10, литера А;56457
г.Санкт-Петербург, улица Жукова, дом 9, литера А;11949
Санкт-Петербург, город Сестрорецк, 3-я Тарховская улица, дом 11, литера А;89821
[' Разливная наб'];Не найдено
['  3-Я Тарховская ул.   д.8'];Не найдено
Санкт-Петербург, город Зеленогорск, Приморское шоссе, дом 570, литера А;43204
Санкт-Петербург, город Зеленогорск, Приморское шоссе, дом 570, литера Л;111287
Санкт-Петербург, город Зеленогорск, Приморское шоссе, дом 568, корпус 1, литера А;47033
[' лит. И'];Не найдено
[' М'];Не найдено
[' Н'];Не найдено
[' О'];Не найдено
[' П'];Не найдено
[' Р'];Не найдено
['Мысленская'];Не найдено
['  Заречная'];Не найдено
[nan];Не найдено
['  ТП 143-22-05 (Астрача)'];Не найдено
[nan];Не найдено
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 28, литера А;89130
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 31, литера А;127977
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 33, литера А;34290
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 37, литера А;77127
Санкт-Петербург, посёлок Лисий Нос, Пограничная улица, дом 32, литера А;110948
Санкт-Петербург, посёлок Песочный, Пограничная улица, дом 49, литера А;9395
Санкт-Петербург, посёлок Лисий Нос, Пограничная улица, дом 50, строение 1;220313
Санкт-Петербург, посёлок Песочный, Пограничная улица, дом 51, литера А;38747
Санкт-Петербург, посёлок Лисий Нос, Пограничная улица, дом 53, литера А;86457
Санкт-Петербург, посёлок Лисий Нос, Пограничная улица, дом 54, литера А;98498
Санкт-Петербург, посёлок Песочный, Пограничная улица, дом 59, литера А;25050
Санкт-Петербург, посёлок Песочный, Пограничная улица, дом 62, литера А;100539
Санкт-Петербург, посёлок Песочный, Пограничная улица, дом 64, литера А;75047
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 37, литера А;77127
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 38, литера А;55325
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 39, литера А;99772
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 41, литера А;93246
Санкт-Петербург, посёлок Лисий Нос, Пограничная улица, дом 38, литера А;36432
Санкт-Петербург, посёлок Лисий Нос, Пограничная улица, дом 50, строение 1;220313
Санкт-Петербург, посёлок Лисий Нос, Пограничная улица, дом 58, литера А;11308
Санкт-Петербург, посёлок Песочный, Пограничная улица, дом 59, литера А;25050
Санкт-Петербург, посёлок Песочный, Пограничная улица, дом 61, литера А;60111
Санкт-Петербург, посёлок Песочный, Пограничная улица, дом 62, литера А;100539
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 29, литера А;30405
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 43, литера А;98455
Санкт-Петербург, посёлок Песочный, Пограничная улица, дом 64, литера А;75047
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 40, литера А;89492
Санкт-Петербург, посёлок Лисий Нос, Пограничная улица, дом 52, литера А;82110
Санкт-Петербург, посёлок Комарово, Пограничная улица, дом 7, литера А;53395
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 32, литера А;19305
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 34, литера А;61910
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 41, литера А;93246
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 29, литера Б;54758
Санкт-Петербург, посёлок Лисий Нос, Пограничная улица, дом 56, литера А;110819
Санкт-Петербург, посёлок Лисий Нос, Пограничная улица, дом 18, литера А;27534
Санкт-Петербург, посёлок Лисий Нос, Пограничная улица, дом 56, литера А;110819
Санкт-Петербург, посёлок Лисий Нос, Пограничная улица, дом 52, литера А;82110
Санкт-Петербург, посёлок Песочный, Пограничная улица, дом 51, литера А;38747
Санкт-Петербург, посёлок Лисий Нос, улица Морские Дубки, дом 42, строение 1;212790
Санкт-Петербург, посёлок Комарово, Пограничная улица, дом 10, литера А;38484
